CYRET17;CYRE;2011-07-21
CYRET16;CYRE;2012-06-14
CYRET19;CYRE;2008-07-23
CYRET18;CYRE;2013-05-14
AMBVE46E;AMBV;2011-05-16
TECN3T;TECN;2011-07-01
CPAAD1E;CPAA;1999-04-14
CSNAQ43E;CSNA;2012-05-21
FLRYJ1;FLRY;2011-09-12
KLBND60E;KLBN;2011-04-01
TECN3F;TECN;2011-07-01
LOA 3;LOA;1996-12-19
OSXBL55;OSXB;2010-07-01
LIMA4F;LIMA;1998-03-31
LOA 4;LOA;1995-10-17
CIQU3FF;CIQU;2000-05-18
CYRET12;CYRE;2013-06-26
CYRET13;CYRE;2013-06-24
CYRET14;CYRE;2011-07-15
CYRET15;CYRE;2011-07-28
HRTPT80E;HRTP;2012-08-20
GFSAJ28E;GFSA;2009-10-19
AMBVE47E;AMBV;2011-05-16
BBDCH40E;BBDC;2000-08-07
CRUZA58;CRUZ;2007-12-11
BESPV4;BESP;1998-08-10
OSXBL65;OSXB;2010-05-05
BESPV3;BESP;1998-08-04
BESPV2;BESP;1998-08-05
OSXBL60;OSXB;2010-11-29
SUZBV34;SUZB;2011-09-28
AMBVE48E;AMBV;2011-05-16
BESPR4;BESP;1998-05-18
GFSAC26E;GFSA;2010-03-15
CYRET39;CYRE;2012-06-27
BESPR7;BESP;1999-04-22
CYRET38;CYRE;2012-07-17
BESPR8;BESP;1998-04-06
BESPR9;BESP;1998-03-27
CSNAQ41E;CSNA;2012-05-21
RSIP11F;RSIP;2004-12-10
FLRYH2;FLRY;2012-03-13
ODPVQ25;ODPV;2011-04-14
OGXPO52E;OGXP;2013-03-18
FLRYH6;FLRY;2011-08-12
ESTCT14;ESTC;2013-05-27
IVE 3;IVE;1997-03-10
TBLEA28;TBLE;2010-10-27
ESTCT15;ESTC;2013-06-05
TBLEA29;TBLE;2010-10-15
ESTCT13;ESTC;2013-06-05
AMBVE49E;AMBV;2011-05-16
ESTCT16;ESTC;2013-05-27
IVE 4;IVE;1994-11-01
CSNAQ42E;CSNA;2012-05-21
CYREI16E;CYRE;2012-09-17
ALUP11;ALUP;2013-04-24
CYREI17E;CYRE;2012-09-17
CRUZA32;CRUZ;2012-11-30
CRUZA33;CRUZ;2012-12-17
MRFGR4E;MRFG;2011-06-20
TBLEA30;TBLE;2011-12-19
ODPVQ38;ODPV;2013-03-04
CYRET24;CYRE;2010-08-06
CYRET21;CYRE;2008-07-23
BESPT1;BESP;1998-05-11
CYREI15E;CYRE;2012-09-17
TBLEA27;TBLE;2010-12-28
TBLEA22;TBLE;2009-12-21
USIMD39E;USIM;2013-04-15
OGXPO54E;OGXP;2013-03-18
BBDCH46E;BBDC;2007-07-20
FLRYN1;FLRY;2011-08-02
CRUZA22;CRUZ;2011-12-07
CRUZA24;CRUZ;2012-01-02
CRUZA23;CRUZ;2011-12-28
CYREI14E;CYRE;2012-09-17
CPAAD6E;CPAA;1999-04-15
PIRE3;PIRE;1998-03-16
OGXPA60E;OGXP;2011-01-17
RCES40T;RCES;1999-10-06
PIRE4;PIRE;1998-03-16
MRFGR72;MRFG;2013-05-21
CYREI13E;CYRE;2011-09-19
BESPV7;BESP;1998-08-05
BESPV6;BESP;1998-08-17
LIGTN27;LIGT;2012-08-14
LIGTN26;LIGT;2012-09-10
FLRYL7;FLRY;2012-06-01
RPMG4FF;RPMG;2000-02-02
RSIDL4E;RSID;2012-12-14
FLRYL3;FLRY;2011-11-07
OGXPO56E;OGXP;2013-03-18
LIGTN18;LIGT;2013-08-21
BNCAN58;BNCA;2008-11-24
FLRYK3;FLRY;2011-11-07
JBSSS69E;JBSS;2011-07-18
LRENI67E;LREN;2012-09-17
FLRYB4;FLRY;2012-08-28
ITUBU57;ITUB;2013-07-30
ITUBU55;ITUB;2013-07-03
ITUBU37;ITUB;2010-08-11
ITUBU36;ITUB;2010-08-11
ITUBU39;ITUB;2012-05-22
CSANG28E;CSAN;2012-07-16
TEFCR34E;TEFC;2003-06-16
ITUBU38;ITUB;2009-08-05
DASAI38E;DASA;2012-09-17
LRENI66E;LREN;2012-09-17
ITUBU3E;ITUB;2013-09-16
PLIML1EE;PLIM;2000-07-27
BRMLF22E;BRML;2012-06-18
MPXEQ22E;MPXE;2010-05-17
USIMD37E;USIM;2012-03-16
CEVA4T;CEVA;1998-03-18
RSIDL10;RSID;2012-04-26
RSIDL16;RSID;2010-11-10
RSIDL17;RSID;2010-11-10
ITUBU77;ITUB;2013-09-11
AGIN9L;AGIN;2008-12-22
MAGGH12;MAGG;2010-07-21
AGIN9F;AGIN;2008-12-10
CEVA3F;CEVA;1998-03-16
ITUBU58;ITUB;2013-09-12
CESPE30E;CESP;2011-05-16
LRENI64E;LREN;2013-09-16
CIELC45E;CIEL;2012-03-19
ARCZL13E;ARCZ;2007-12-11
CEVA3T;CEVA;1999-05-21
ITUBU60;ITUB;2013-07-15
ITUBU65;ITUB;2013-08-05
PIBBI9;PIBB;2004-08-05
GGBRS20E;GGBR;2012-07-16
ITUBU61;ITUB;2013-07-23
CEVA4F;CEVA;1998-03-17
ITUBU62;ITUB;2013-06-20
ITUBU63;ITUB;2013-06-18
RENTV24;RENT;2011-08-30
USIMD30E;USIM;2009-04-20
BTOWE21E;BTOW;2011-05-16
CRUZA92;CRUZ;2011-01-04
CSIP3;CSIP;1998-07-31
MOBIN19E;MOBI;2011-02-21
CSIP6;CSIP;1998-03-16
USIMD31E;USIM;2009-04-20
OSXBL13;OSXB;2012-08-27
OSXBL14;OSXB;2012-10-10
FLRYD1;FLRY;2011-09-02
HGTXX13;HGTX;2012-10-22
CNT 4;CNT;1990-12-11
FLRYD4;FLRY;2012-02-08
ITUBU29;ITUB;2011-07-13
ITUBU27;ITUB;2011-08-02
ITUBU28;ITUB;2011-07-14
ITUBU25;ITUB;2011-08-11
ENE 3;ENE;1994-08-05
ITUBU26;ITUB;2011-08-26
ENE 5;ENE;1995-12-01
ITUBU35;ITUB;2012-08-09
LRENI61E;LREN;2013-09-16
ITUBU34;ITUB;2009-08-06
ENE 7;ENE;1994-08-09
ITUBU33;ITUB;2012-07-30
ENE 6;ENE;1994-09-28
ITUBU32;ITUB;2011-07-20
ITUBU31;ITUB;2011-03-22
BRMLF23E;BRML;2012-06-18
ENE 8;ENE;1995-11-07
ITUBU30;ITUB;2011-07-14
USIMD32E;USIM;2009-04-20
ESTCT45;ESTC;2013-06-07
RENTV36;RENT;2012-09-04
RENTV34;RENT;2012-09-04
SHAL5L;SHAL;2003-07-03
HGTXX25;HGTX;2012-01-13
HGTXX28;HGTX;2013-06-20
HGTXX27;HGTX;2013-08-06
ITUBU22;ITUB;2013-07-19
LRENI60E;LREN;2013-09-16
USIMD33E;USIM;2009-04-20
ITUBU24;ITUB;2011-08-08
ITUBU23;ITUB;2013-07-05
ESTCT50;ESTC;2013-06-07
SMALG67;SMAL;2011-06-29
ITUBU20;ITUB;2013-07-22
RENTV27;RENT;2013-07-22
GFSAJ26E;GFSA;2009-10-19
BOVAE54;BOVA;2013-04-16
BTAS3;BTAS;1997-03-24
BOVAE55;BOVA;2013-04-23
BOVAE50;BOVA;2009-03-27
BRKMK15E;BRKM;2006-11-14
TNLPL21E;TNLP;2000-12-08
HGTXX41;HGTX;2012-10-15
HGTXX42;HGTX;2012-03-07
HGTXX40;HGTX;2012-10-19
BTAS6;BTAS;1996-07-31
HGTXX46;HGTX;2012-10-15
RENTC30E;RENT;2012-03-19
HGTXX43;HGTX;2012-08-21
BTAS5;BTAS;1998-07-22
HGTXX44;HGTX;2012-10-19
BOVAE46;BOVA;2009-04-30
BOVAE44;BOVA;2009-04-03
BOVAE41;BOVA;2009-04-09
BOVAE42;BOVA;2009-03-23
BOVAE40;BOVA;2009-03-26
BRKMK14E;BRKM;2006-10-24
BOVAD56E;BOVA;2010-04-19
MTBR3F;MTBR;1998-04-03
HGTXX37;HGTX;2012-07-18
HGTXX39;HGTX;2012-08-21
MTBR3L;MTBR;2000-01-07
TSPPC85E;TSPP;2004-03-08
EMBRF18;EMBR;2013-04-01
HGTXX30;HGTX;2012-01-13
EMBRF19;EMBR;2013-05-08
HGTXX31;HGTX;2012-07-19
HGTXX32;HGTX;2013-10-23
MTBR3T;MTBR;1998-06-03
TNLPL22E;TNLP;2001-11-22
BOVAE49;BOVA;2009-04-30
EMBRF13;EMBR;2011-05-04
HGTXX33;HGTX;2011-08-17
HGTXX34;HGTX;2012-03-07
EMBRF15;EMBR;2000-04-25
BOVAE47;BOVA;2009-04-14
RENTC31E;RENT;2012-03-19
BRMLS21E;BRML;2013-07-15
SEER3;SEER;2013-10-29
QGEPL38E;QGEP;2012-12-17
BRCR11L;BRCR;2012-11-29
BRKMK16E;BRKM;2006-11-21
MMXMI13E;MMXM;2010-09-20
TCOCD39;TCOC;2000-04-14
BRCR11B;BRCR;2010-12-22
GGBRF20E;GGBR;2009-06-08
TCOCD36;TCOC;2000-04-10
BRMLS20E;BRML;2013-07-15
HGTXX59;HGTX;2013-08-02
TSPPC87E;TSPP;2004-03-01
TNLPL24E;TNLP;2001-12-07
CMGR3F;CMGR;1998-05-07
ITUBU87;ITUB;2013-09-11
POMOA66;POMO;2011-12-26
GGBRS22E;GGBR;2009-07-20
ITUBU81;ITUB;2013-09-12
ITUBU80;ITUB;2013-09-11
LRENE30E;LREN;2007-05-21
DASAR12;DASA;2012-03-30
DASAR14;DASA;2012-03-30
RENTC34E;RENT;2012-03-19
INEPF31E;INEP;1998-06-12
NETCJ95E;NETC;2005-10-17
POMOA70;POMO;2011-12-15
CMGR3T;CMGR;2003-08-07
CQUE6FF;CQUE;2000-01-12
BGO 4;BGO;1994-07-29
BTOWU36;BTOW;2010-04-29
BGO 3;BGO;1994-06-16
GGBRS23E;GGBR;2010-07-19
ITUBU91;ITUB;2013-09-11
CMGR4F;CMGR;1998-06-15
LLXLC32E;LLXL;2012-03-19
MMXMI11E;MMXM;2010-09-20
CMGR4T;CMGR;2006-02-16
GGBRS24E;GGBR;2010-07-19
POMOA48;POMO;2013-06-12
CMIGX42E;CMIG;2007-12-17
JSLG3;JSLG;2010-04-22
CBNT4;CBNT;1998-04-27
GGBRS25E;GGBR;2010-07-19
CRBM11F;CRBM;2006-10-10
SPLC11;SPLC;1998-04-06
NETCJ98E;NETC;2006-10-16
RENTC37E;RENT;2013-03-18
DASAR41;DASA;2012-12-26
GGBRS26E;GGBR;2010-07-19
TNLPL20E;TNLP;2001-11-16
GGBRF25E;GGBR;2010-06-21
IVCT4;IVCT;1998-03-19
CMIGX40E;CMIG;2012-12-17
DURAM1;DURA;1998-11-19
DURAM4;DURA;1998-12-01
NCSG3L;NCSG;2005-05-24
ODPVQ87;ODPV;2013-02-28
EBE 3;EBE;1993-09-09
SUZBU85;SUZB;2013-08-20
EBE 4;EBE;1993-07-20
CMIGL88E;CMIG;2005-12-19
LMAR4L;LMAR;2004-06-30
EMBRF6E;EMBR;2003-06-16
LIGTT30E;LIGT;2011-08-15
TBLE3;TBLE;2002-03-01
CYRES8E;CYRE;2013-07-15
TBLE5;TBLE;2002-03-27
ODPVX30E;ODPV;2012-12-17
TBLE6;TBLE;2002-03-01
CTIPP32E;CTIP;2012-04-16
BBASN34E;BBAS;2011-02-21
MNSA3FF;MNSA;2000-03-01
EMBRF48;EMBR;2013-02-19
TNLPL25E;TNLP;2000-12-18
OGXPA56E;OGXP;2011-01-17
VERZ34;VERZ;2013-09-06
TLMP3L;TLMP;2010-06-17
RSIP12F;RSIP;2004-12-10
FLRY3S;FLRY;2011-02-23
BRKMK11E;BRKM;2009-11-16
FLRY3T;FLRY;2009-12-18
SAD 4;SAD;1993-04-20
FLRY3F;FLRY;2009-12-17
PCARA58E;PCAR;2012-01-16
SAD 3;SAD;1995-11-24
SUZBU45;SUZB;2012-08-16
TNLPL26E;TNLP;2000-12-08
CSBC11;CSBC;2010-07-15
GGBRF22E;GGBR;2010-06-21
DURAR8;DURA;1999-04-27
CYRES39;CYRE;2012-05-15
CYRES43;CYRE;2013-06-20
OGXPA58E;OGXP;2011-01-03
CYRES45;CYRE;2013-06-10
CYRES44;CYRE;2013-06-10
CYRES46;CYRE;2013-05-13
CYRES49;CYRE;2013-05-31
TBAC3FF;TBAC;2000-01-04
CYRES48;CYRE;2013-05-15
GGBRF23E;GGBR;2010-06-21
ENBRW34;ENBR;2011-10-24
MTBR4T;MTBR;1998-03-18
CYRES41;CYRE;2012-06-01
CYRES40;CYRE;2012-05-16
MTBR4F;MTBR;1998-03-16
BOVAE71;BOVA;2010-04-14
BOVAE70;BOVA;2012-02-13
MTBR4L;MTBR;2000-01-07
BOVAE74;BOVA;2010-03-17
BOVAE73;BOVA;2010-03-19
BOVAE72;BOVA;2010-03-15
CYREM44E;CYRE;2013-01-21
EMBRF20;EMBR;2001-04-19
EMBRF22;EMBR;2001-04-26
BOVAE69;BOVA;2012-02-13
EMBRF35;EMBR;2010-05-28
EMBRF36;EMBR;2010-05-31
TNLPL28E;TNLP;2001-12-13
QGEPD37E;QGEP;2012-04-16
GGBRF24E;GGBR;2010-06-21
BOVAE60;BOVA;2011-04-13
ENBRW36;ENBR;2011-10-24
BOVAE62;BOVA;2011-03-16
BOVAE63;BOVA;2012-04-17
BOVAE66;BOVA;2011-04-13
BOVAE65;BOVA;2011-04-18
BOVAE68;BOVA;2011-04-07
BOVAE67;BOVA;2011-04-05
CYRES18;CYRE;2013-04-18
CYRES17;CYRE;2012-06-12
CYRES19;CYRE;2013-05-22
CYRES13;CYRE;2012-05-23
CYRES14;CYRE;2011-05-20
CYRES15;CYRE;2011-06-29
CYRES16;CYRE;2011-06-16
CIQU4FF;CIQU;2000-01-05
